ticker,total_investment,quantity,total_value,total_pnl
CAMT,125800,5275.433468732574,420452.0313586408,294652.0313586408
BXC,125800,4173.104671170743,414890.05876661243,289090.05876661243
NMM,125800,7467.034916838206,414420.43788452045,288620.43788452045
COOP,125800,4530.404085675511,413354.0590990464,287554.0590990464
ERJ,125800,11078.032953947564,404126.6370888861,278326.6370888861
CECO,125800,14389.843345498197,401332.72212308133,275532.72212308133
CEPU,125800,38732.57828915375,397396.26211190113,271596.26211190113
COKE,125800,309.25646704464464,395186.4644475456,269386.4644475456
ENLC,125800,27002.60905123619,394508.1089679507,268708.1089679507
CLMB,125800,4467.530819098674,393768.16366859275,267968.16366859275
PWR,125800,1454.9032849979178,393478.61118773674,267678.61118773674
IDR,125800,28277.70739175147,393342.90550442727,267542.90550442727
DFIN,125800,5820.991567995399,392800.53054901166,267000.53054901166
ASC,125800,22419.544103536675,392342.0218118918,266542.0218118918
IRM,125800,3350.181346534781,392038.20992516377,266238.20992516377
TNK,125800,7024.558990271453,390565.46914046636,264765.46914046636
MHO,125800,2391.1213916566967,389967.9790087426,264167.9790087426
TGS,125800,18263.307597369432,388460.56095632655,262660.56095632655
CAAP,125800,23117.70037037193,387221.48120372987,261421.48120372987
AEYE,125800,17957.09157839354,384461.327953371,258661.327953371
SD,125800,32287.29597430226,383895.96021941723,258095.96021941723
AEHR,125800,29494.522076314246,379004.61993190536,253204.61993190536
DKS,125800,1785.0810675372484,378597.83707681287,252797.83707681287
PAM,125800,6392.722847040122,377809.9105055503,252009.91050555027
BTCS,125800,343125.2236398165,377437.754184541,251637.754184541
HWM,125800,4032.598444170651,377047.95452995587,251247.95452995587
HWM,125800,4032.5984430735907,377047.95442738076,251247.95442738076
HWM,125800,4032.5984410358906,377047.9542368558,251247.9542368558
HWM,125800,4032.598440355726,377047.95417326037,251247.95417326037
HWM,125800,4032.598420949013,377047.9523587327,251247.9523587327
HWM,125800,4032.59841740731,377047.9520275835,251247.9520275835
BTU,125800,17352.74581177667,375166.3790136154,249366.37901361543
