"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
153,"CAT","Caterpillar Inc","Industrials","Farm & Heavy Construction Machinery","USA",187573.60,18.02,388.51,-1.15%,14227
154,"CATO","Cato Corp","Consumer Cyclical","Apparel Retail","USA",121.35,,5.90,0.00%,0
155,"CATY","Cathay General Bancorp","Financial","Banks - Regional","USA",3719.42,13.17,52.24,0.00%,8
156,"CBFV","CB Financial Services Inc","Financial","Banks - Regional","USA",148.84,6.52,29.05,0.00%,0
157,"CBOE","Cboe Global Markets Inc","Financial","Financial Data & Stock Exchanges","USA",20934.02,27.24,199.97,0.25%,1522
158,"CBSH","Commerce Bancshares, Inc","Financial","Banks - Regional","USA",9310.78,18.90,72.61,0.48%,129
159,"CBT","Cabot Corp","Basic Materials","Specialty Chemicals","USA",6169.87,16.50,112.54,0.00%,0
160,"CCI","Crown Castle Inc","Real Estate","REIT - Specialty","USA",44772.31,36.55,103.02,0.75%,1480
161,"CCO","Clear Channel Outdoor Holdings Inc","Communication Services","Advertising Agencies","USA",792.31,,1.62,-0.61%,14709
162,"CCRD","CoreCard Corporation","Technology","Software - Application","USA",136.77,35.04,17.31,-1.25%,12
163,"CCS","Century Communities Inc","Real Estate","Real Estate - Development","USA",2744.81,8.73,87.59,1.72%,213
164,"CCSI","Consensus Cloud Solutions Inc","Technology","Software - Infrastructure","USA",488.19,5.54,25.29,0.00%,0
165,"CCU","Compania Cervecerias Unidas S.A. ADR","Consumer Defensive","Beverages - Brewers","Chile",1984.21,14.29,10.74,0.00%,0
166,"CDLX","Cardlytics Inc","Communication Services","Advertising Agencies","USA",209.52,,4.12,-2.54%,168
167,"CE","Celanese Corp","Basic Materials","Chemicals","USA",8299.71,7.63,75.96,0.33%,818
168,"CEPU","Central Puerto ADR","Utilities","Utilities - Regulated Electric","Argentina",1854.65,4.74,12.25,0.41%,15
169,"CF","CF Industries Holdings Inc","Basic Materials","Agricultural Inputs","USA",14655.96,13.34,84.22,0.00%,0
170,"CFBK","CF Bankshares Inc","Financial","Banks - Regional","USA",178.87,13.75,28.00,0.00%,0
171,"CFFN","Capitol Federal Financial","Financial","Banks - Regional","USA",922.52,24.07,6.95,0.00%,0
172,"CFR","Cullen Frost Bankers Inc","Financial","Banks - Regional","USA",9076.58,17.58,141.53,0.39%,78
173,"CGBD","Carlyle Secured Lending Inc","Financial","Asset Management","USA",832.64,9.45,16.36,-0.08%,100
174,"CGC","Canopy Growth Corporation","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",733.85,,3.98,1.01%,115518
175,"CGNT","Cognyte Software Ltd","Technology","Software - Infrastructure","Israel",537.77,,7.48,0.00%,0
176,"CHCO","City Holding Co","Financial","Banks - Regional","USA",1968.32,17.18,133.88,0.18%,111
177,"CHD","Church & Dwight Co., Inc","Consumer Defensive","Household & Personal Products","USA",26457.28,48.51,107.99,0.00%,362
178,"CHEK","Check-Cap Ltd","Healthcare","Diagnostics & Research","Israel",5.10,,0.87,0.58%,143
179,"CHGG","Chegg Inc","Consumer Defensive","Education & Training Services","USA",154.44,,1.49,-15.84%,160622
180,"CHH","Choice Hotels International, Inc","Consumer Cyclical","Lodging","USA",6778.11,27.64,144.50,0.11%,30
181,"CHPT","ChargePoint Holdings Inc","Consumer Cyclical","Specialty Retail","USA",487.69,,1.13,0.00%,192718
182,"CHRW","C.H. Robinson Worldwide, Inc","Industrials","Integrated Freight & Logistics","USA",12850.08,37.61,108.71,-0.35%,2324
183,"CHT","Chunghwa Telecom ADR","Communication Services","Telecom Services","Taiwan",29245.78,25.68,37.70,0.00%,0
184,"CHTR","Charter Communications Inc","Communication Services","Telecom Services","USA",113472.21,12.50,399.00,1.79%,3440
185,"CIB","Bancolombia S.A. ADR","Financial","Banks - Regional","Colombia",3543.49,9.30,31.35,0.00%,0
186,"CIG","Cia Energetica DE Minas Gerais - Cemig ADR","Utilities","Utilities - Diversified","Brazil",3655.55,4.61,1.92,-0.52%,156
187,"CIM","Chimera Investment Corp","Real Estate","REIT - Mortgage","USA",1209.75,4.51,14.96,1.55%,5
188,"CION","CION Invt Corp","Financial","Asset Management","USA",607.46,7.73,11.40,0.00%,204
189,"CLB","Core Laboratories Inc","Energy","Oil & Gas Equipment & Services","USA",983.61,32.83,20.95,0.00%,0
190,"CLF","Cleveland-Cliffs Inc","Basic Materials","Steel","USA",5952.02,,12.05,0.58%,37928
191,"CLX","Clorox Co","Consumer Defensive","Household & Personal Products","USA",20509.32,57.99,165.69,0.55%,18
192,"CLYM","Climb Bio Inc","Healthcare","Biotechnology","USA",254.83,,3.80,0.00%,0
193,"CMA","Comerica, Inc","Financial","Banks - Regional","USA",9140.23,17.37,69.50,-0.71%,298
194,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",7.06,,1.85,2.21%,1327
195,"CMCT","Creative Media & Community Trust","Real Estate","REIT - Office","USA",26.11,,0.31,4.30%,20956
196,"CMI","Cummins Inc","Industrials","Specialty Industrial Machinery","USA",49078.18,23.75,357.76,0.75%,2051
197,"CMLS","Cumulus Media Inc","Communication Services","Broadcasting","USA",25.06,,0.75,0.00%,0
198,"CMRE","Costamare Inc","Industrials","Marine Shipping","Monaco",1671.29,4.65,13.99,0.00%,0
199,"CNA","CNA Financial Corp","Financial","Insurance - Property & Casualty","USA",12908.35,9.96,47.66,-1.39%,12363
200,"CNO","CNO Financial Group Inc","Financial","Insurance - Life","USA",4087.08,15.94,39.60,0.00%,0
201,"CNP","Centerpoint Energy Inc","Utilities","Utilities - Regulated Electric","USA",19838.58,20.17,30.44,0.00%,276
202,"CNS","Cohen & Steers Inc","Financial","Asset Management","USA",5156.90,38.07,102.00,-0.23%,11
203,"CNSL","Consolidated Communications Holdings Inc","Communication Services","Telecom Services","USA",548.51,,4.63,0.00%,0
204,"CNXN","PC Connection, Inc","Technology","Electronics & Computer Distribution","USA",1903.10,21.28,72.39,0.00%,0
205,"CODX","Co-Diagnostics Inc","Healthcare","Medical Devices","USA",38.32,,1.20,2.56%,249
206,"COKE","Coca-Cola Consolidated Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",10818.56,23.86,1234.90,-0.10%,213
207,"COLB","Columbia Banking System, Inc","Financial","Banks - Regional","USA",6560.42,13.53,31.31,-0.22%,10084
208,"COLM","Columbia Sportswear Co","Consumer Cyclical","Apparel Manufacturing","USA",4775.74,23.14,83.50,0.17%,195
209,"COMM","CommScope Holding Company Inc","Technology","Communication Equipment","USA",1031.83,,4.78,2.13%,3238
210,"CPAC","Cementos Pacasmayo S.A.A. ADR","Basic Materials","Building Materials","Peru",538.29,11.07,6.35,0.00%,0
211,"CPB","Campbell Soup Co","Consumer Defensive","Packaged Foods","USA",13189.74,23.39,44.32,0.18%,123
212,"CPRI","Capri Holdings Ltd","Consumer Cyclical","Luxury Goods","United Kingdom",2290.69,,19.43,0.21%,24034
213,"CPTN","Cepton Inc","Technology","Scientific & Technical Instruments","USA",50.24,,3.13,0.00%,0
214,"CRI","Carters Inc","Consumer Cyclical","Apparel Retail","USA",1889.15,8.29,52.42,0.00%,0
215,"CRK","Comstock Resources, Inc","Energy","Oil & Gas E&P","USA",4120.88,,14.10,0.50%,529
216,"CRKN","Crown ElectroKinetics Corp","Basic Materials","Specialty Chemicals","USA",6.88,,0.91,0.00%,9460
217,"CRL","Charles River Laboratories International Inc","Healthcare","Diagnostics & Research","USA",10739.62,25.93,210.02,-2.74%,10
218,"CRMT","Americas Car Mart, Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",340.06,,42.00,0.00%,0
219,"CRNC","Cerence Inc","Technology","Software - Application","USA",143.81,,3.44,2.08%,6788
220,"CRWS","Crown Crafts, Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",45.47,13.96,4.41,0.00%,0
221,"CSIQ","Canadian Solar Inc","Technology","Solar","Canada",809.31,22.59,12.23,1.16%,23640
222,"CTAS","Cintas Corporation","Industrials","Specialty Business Services","USA",90544.57,56.71,224.51,-0.10%,392
223,"CTLT","Catalent Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",10754.56,,59.25,0.00%,0
224,"CTRI","Centuri Holdings Inc","Utilities","Utilities - Regulated Gas","USA",1826.12,,20.63,0.00%,0
225,"CTS","CTS Corp","Technology","Electronic Components","USA",1725.32,29.54,57.29,0.00%,0
226,"CTSH","Cognizant Technology Solutions Corp","Technology","Information Technology Services","USA",40528.67,18.08,81.74,0.00%,4
227,"CUBE","CubeSmart","Real Estate","REIT - Industrial","USA",10866.76,26.95,47.79,-0.02%,28
228,"CURV","Torrid Holdings Inc","Consumer Cyclical","Apparel Retail","USA",422.92,31.39,4.04,-0.24%,78
229,"CVU","CPI Aerostructures Inc","Industrials","Aerospace & Defense","USA",42.76,2.51,3.28,-2.96%,66
230,"CYCC","Cyclacel Pharmaceuticals Inc","Healthcare","Biotechnology","USA",0.98,,0.46,11.02%,6633472
231,"CZNC","Citizens & Northern Corp","Financial","Banks - Regional","USA",321.61,14.54,20.87,0.07%,10
232,"D","Dominion Energy Inc","Utilities","Utilities - Regulated Electric","USA",48174.55,20.45,57.35,0.56%,843
233,"DAN","Dana Inc","Consumer Cyclical","Auto Parts","USA",1255.56,,8.66,0.94%,1803
234,"DBI","Designer Brands Inc","Consumer Cyclical","Footwear & Accessories","USA",296.92,,5.35,4.29%,2832
235,"DBX","Dropbox Inc","Technology","Software - Infrastructure","USA",8296.45,15.92,27.50,-1.54%,460
236,"DCI","Donaldson Co. Inc","Industrials","Specialty Industrial Machinery","USA",9286.45,22.95,77.55,0.00%,7
237,"DEA","Easterly Government Properties Inc","Real Estate","REIT - Office","USA",1407.51,75.81,13.32,0.53%,7734
238,"DEI","Douglas Emmett Inc","Real Estate","REIT - Office","USA",3652.62,,18.16,0.00%,0
239,"DEO","Diageo plc ADR","Consumer Defensive","Beverages - Wineries & Distilleries","United Kingdom",66106.16,17.20,119.00,-0.57%,3224
240,"DFH","Dream Finders Homes Inc","Consumer Cyclical","Residential Construction","USA",2665.01,9.76,28.51,-4.39%,30
241,"DG","Dollar General Corp","Consumer Defensive","Discount Stores","USA",16553.02,11.70,75.27,0.20%,4644
242,"DGICA","Donegal Group Inc","Financial","Insurance - Property & Casualty","USA",529.60,21.09,15.90,0.00%,0
243,"DH","Definitive Healthcare Corp","Healthcare","Health Information Services","USA",707.97,,4.57,0.00%,0
244,"DHC","Diversified Healthcare Trust","Real Estate","REIT - Healthcare Facilities","USA",641.79,,2.66,3.10%,246
