ticker,total_investment,quantity,total_value,total_pnl
LOKA-USD,96800,283642.806966853,62211.13956557852,-34588.86043442148
API3-USD,138300,67647.08636541247,102821.44911079035,-35478.550889209655
FORTH-USD,124300,29020.883599384822,88819.74001424681,-35480.25998575319
BNT-USD,182700,302593.16968800465,147026.50856914665,-35673.49143085335
PUNDIX-USD,126000,228611.81325084236,88309.04335535895,-37690.956644641046
00-USD,70500,877978.203455186,31773.739589392077,-38726.26041060792
SPELL-USD,112500,133901604.79701917,73518.63577563621,-38981.36422436379
LQTY-USD,125700,95059.130523804,86072.68227303497,-39627.31772696503
GODS-USD,105200,367915.3602496439,64770.246411825494,-40429.753588174506
PYR-USD,124500,30312.604151871343,81990.70640664855,-42509.29359335145
AMP-USD,146500,27320646.677389763,103882.48343260452,-42617.516567395476
DIA-USD,150300,289193.22890798823,107681.37668988488,-42618.623310115116
BICO-USD,101900,262487.26629734307,58483.770896355934,-43416.229103644066
UMA-USD,157400,50513.958640070334,113918.44867869,-43481.551321310006
RARI-USD,151800,65383.45824094627,108244.2984282582,-43555.701571741796
FOX-USD,134800,2410221.9686463294,91156.08581667823,-43643.91418332177
APT-USD,102800,158887147.09556603,58151.50628901351,-44648.49371098649
ZEN-USD,182700,16911.943139318755,136926.53824233823,-45773.461757661775
CLV-USD,115700,1599091.3086363936,69534.66385641044,-46165.336143589564
BADGER-USD,138100,31702.61878051269,89225.77636928398,-48874.22363071602
EGLD-USD,147200,3682.9969720602153,97492.06738890054,-49707.93261109946
HOPR-USD,129600,1531508.4982327227,79729.82556157335,-49870.17443842665
FIS-USD,146300,295362.65017598984,95964.03842437346,-50335.96157562654
SUKU-USD,150300,1596906.3099906389,97615.00149115386,-52684.99850884614
MINA-USD,120200,151056.83010845818,66176.04050245194,-54023.95949754806
KNC-USD,114500,136266.07635643106,60380.705298296445,-54119.294701703555
ALICE-USD,128000,71686.48716165613,72008.0018523513,-55991.9981476487
LDO-USD,134900,76671.47904687861,78848.1039059899,-56051.896094010095
